ProductID,Category,Brand,CostPrice,SellingPrice,Weight,SupplierID
P853877,Sports,Samsung,126.23,169.45,18.28,S9502
P953268,Sports,Adidas,365.85,458.48,21.44,S15754
P472148,Clothing,Nike,241.52,451.67,28.82,S18482
P788829,Clothing,Unknown,258.41,374.57,36.05,S2588
P908745,Home & Garden,Samsung,353.75,608.79,34.2,S10096
P237973,Toys,Unknown,149.84,193.74,13.4,S6203
P964784,Home & Garden,Unknown,46.75,89.59,21.49,S1182
P227270,Toys,Samsung,302.19,418.27,31.28,S10319
P975959,Books,AmazonBasics,199.77,336.37,28.65,S3459
P127318,Toys,Adidas,467.18,613.93,26.63,S12309
P916524,Clothing,Nike,432.0,754.75,18.89,S18327
P888144,Electronics,Samsung,370.64,602.78,7.43,S16420
P311002,Books,Sony,457.16,644.01,25.3,S19922
P531274,Sports,IKEA,112.85,179.47,38.04,S7948
P372516,Books,Adidas,181.72,305.97,46.26,S17064
P149200,Books,Samsung,74.5,143.73,0.69,S5592
P822944,Toys,Samsung,493.21,701.68,16.11,S5281
P792163,Home & Garden,Sony,212.36,403.66,22.62,S4604
P668555,Toys,Nike,159.64,220.72,31.22,S9190
P910929,Clothing,Sony,151.98,191.11,39.69,S17727
P60746,Books,Nike,237.77,370.65,22.72,S14970
P135418,Sports,Samsung,479.79,866.84,8.88,S6330
P643294,Electronics,Nike,222.44,405.03,25.38,S1457
P483468,Toys,Unknown,447.34,746.33,29.82,S9870
P202419,Electronics,AmazonBasics,160.39,207.12,45.52,S16029
P611354,Sports,IKEA,480.47,794.51,28.17,S8308
P602008,Home & Garden,Nike,401.17,604.86,0.76,S2504
P977128,Clothing,Unknown,203.58,248.23,32.51,S9208
P69293,Clothing,AmazonBasics,217.55,370.93,32.21,S6271
P249860,Clothing,Nike,21.76,37.64,1.9,S10050
P531429,Clothing,IKEA,342.02,416.77,41.81,S14711
P203062,Toys,IKEA,461.33,917.65,18.98,S1652
P867433,Electronics,AmazonBasics,306.1,522.31,15.63,S11888
P172593,Sports,Nike,476.31,863.62,4.3,S14973
P135159,Clothing,Sony,81.41,113.77,40.97,S573
P732268,Books,Samsung,281.12,339.81,10.44,S18102
P607663,Sports,IKEA,301.62,465.09,26.88,S4635
P178692,Home & Garden,N/A,421.85,772.97,0.46,S16245
P686775,Toys,AmazonBasics,269.35,466.02,29.21,S3642
P776658,Sports,IKEA,79.96,99.28,45.38,S16958
P719080,Clothing,Sony,118.16,232.14,23.73,S15
P287442,Home & Garden,Unknown,319.05,465.38,34.71,S18242
P366641,Clothing,Adidas,122.65,186.25,0.4,S8746
P203444,Clothing,Unknown,300.5,504.66,49.61,S1371
P98988,Home & Garden,-,410.67,625.65,4.05,S5294
P312431,Home & Garden,N/A,152.63,252.54,49.66,S17156
P909564,Sports,Unknown,328.66,416.61,19.14,S1656
P641850,Electronics,Samsung,252.4,378.85,25.2,S2890
P239889,Electronics,IKEA,191.76,373.34,47.41,S5440
P285385,Home & Garden,AmazonBasics,404.2,654.75,38.56,S5829
P703029,Clothing,Sony,91.93,165.01,42.82,S18315
P833101,Toys,Samsung,173.96,269.6,25.82,S9654
P746282,Clothing,Nike,434.54,638.79,27.18,S1946
P917479,Electronics,Samsung,211.8,402.75,28.75,S2526
P201410,Home & Garden,AmazonBasics,213.81,264.3,39.05,S4105
P410856,Home & Garden,Unknown,11.66,20.82,0.38,S18430
P788989,Books,Sony,23.89,36.72,29.63,S9392
P135332,Electronics,Sony,179.18,288.02,33.28,S10054
P546799,Clothing,IKEA,17.18,22.42,11.07,S16482
P633373,Sports,-,466.89,765.96,13.32,S1537
P935226,Home & Garden,Samsung,69.5,112.66,49.23,S3866
P711184,Home & Garden,Samsung,303.69,559.23,40.07,S17037
P345509,Books,Samsung,476.5,843.6,7.92,S16013
P414958,Home & Garden,IKEA,218.53,330.01,4.35,S19662
P29566,Sports,Sony,14.24,26.03,29.06,S3341
P679808,Home & Garden,Sony,457.77,611.79,46.08,S7779
P294941,Books,AmazonBasics,204.2,359.74,45.46,S13303
P216445,Books,Unknown,86.59,161.91,12.95,S219
P777561,Sports,Adidas,399.39,587.16,43.24,S12962
P683632,Toys,Unknown,235.23,389.65,15.18,S3494
P30224,Sports,Unknown,342.67,548.88,22.33,S13704
P201922,Home & Garden,IKEA,458.28,805.66,-,S12657
P814135,Clothing,Adidas,123.48,208.7,5.8,S3407
P638352,Toys,Nike,280.94,480.5,29.38,S11241
P486182,Clothing,Samsung,414.58,653.42,20.27,S11783
P847502,Sports,Nike,14.65,20.65,10.99,S13619
P761267,Sports,IKEA,115.63,219.45,45.59,S4445
P85887,Toys,Sony,182.58,293.98,7.47,S9000
P644027,Sports,Sony,14.51,18.87,NULL,S4658
P45793,Toys,Samsung,493.43,851.82,32.87,S18253
P960892,Books,Samsung,427.5,608.89,12.22,S7364
P544896,Books,Unknown,394.72,519.05,0.4,S3765
P315680,Books,Adidas,327.03,629.89,14.47,S3981
P232330,Home & Garden,Nike,8.42,14.9,10.72,S9840
P872835,Sports,Adidas,33.01,57.21,9.46,S19247
P808907,Clothing,Unknown,24.9,45.6,30.59,S16357
P161800,Toys,Nike,10.14,17.23,9.54,S10583
P476415,Books,Unknown,350.28,685.89,32.61,S13179
P470671,Toys,Adidas,304.65,411.95,12.52,S12153
P505295,Electronics,Sony,223.71,384.49,37.55,S9690
P812463,Books,Adidas,121.3,236.68,36.46,S14075
P22086,Home & Garden,Unknown,52.2,79.16,35.96,S9205
P338798,Toys,IKEA,160.56,210.57,38.85,S11154
P277455,Toys,Nike,134.18,204.69,14.64,S5818
P44094,Home & Garden,AmazonBasics,382.54,749.23,17.25,S9498
P851818,Sports,Samsung,15.31,19.95,8.05,S15421
P630996,Home & Garden,Adidas,349.16,625.82,14.52,S14092
P692692,Clothing,AmazonBasics,420.43,703.43,3.93,S15018
P260412,Electronics,Nike,99.5,174.45,1.96,S17967
P280121,Sports,AmazonBasics,25.93,47.03,22.09,S8087
P513064,Electronics,,224.15,359.51,26.05,S11649
P169754,Books,Samsung,296.43,467.84,14.56,S19376
P971992,Electronics,Samsung,323.34,579.95,45.92,S14749
P711679,Clothing,Samsung,264.63,524.82,12.32,S3210
P160505,Clothing,Unknown,491.62,927.87,38.15,S16758
P669129,Sports,Unknown,59.5,101.93,3.15,S1790
P480966,Toys,Samsung,160.31,300.76,13.58,S6193
P739966,Books,Samsung,178.68,216.71,37.76,S13807
P876813,Sports,IKEA,374.6,712.06,13.24,S16804
P161153,Sports,Sony,47.28,81.02,26.9,S14397
P498558,Electronics,Adidas,360.96,612.33,48.68,S10108
P531686,Home & Garden,Unknown,68.96,124.95,36.16,S7446
P32609,Sports,Samsung,406.54,786.48,3.32,S1223
P27099,Sports,Samsung,26.79,38.53,46.91,S15120
P830801,Sports,Nike,223.1,393.53,49.92,S11675
P194392,Sports,Adidas,244.78,326.66,38.59,S9865
P522309,Clothing,Samsung,378.74,494.59,18.81,S6958
P131133,Electronics,N/A,497.43,617.96,31.13,S9360
P256766,Clothing,AmazonBasics,177.81,242.93,36.42,S9809
P411951,Sports,Adidas,489.58,914.93,30.24,S16563
P534265,Books,Nike,198.93,241.09,12.27,S99
P734602,Clothing,AmazonBasics,192.82,317.43,5.29,S7220
P154627,Sports,,70.27,87.57,13.15,S13430
P23694,Electronics,Nike,328.44,526.11,29.92,S5570
P887692,Books,Sony,304.52,435.81,22.34,S19811
P85314,Clothing,AmazonBasics,349.16,550.26,4.88,S11977
P482894,Clothing,Adidas,446.82,674.07,37.03,S17101
P503512,Books,AmazonBasics,417.55,554.09,5.42,S7877
P643112,Home & Garden,Unknown,325.49,491.61,24.03,S18993
P956351,Sports,Samsung,62.34,97.89,16.34,S17506
P143065,Books,AmazonBasics,188.38,341.42,3.97,S16872
P495079,Clothing,AmazonBasics,10.81,21.26,34.4,S9030
P635238,Sports,Sony,146.27,266.62,13.92,S10568
P821113,Toys,Samsung,126.02,215.57,32.29,S8899
P248778,Sports,Adidas,74.16,137.29,22.42,S16025
P815332,Books,AmazonBasics,47.02,79.51,43.14,S13493
P972813,Toys,Adidas,277.94,531.13,18.09,S1919
P64881,Home & Garden,Nike,5.59,9.5,48.89,S11160
P807090,Electronics,IKEA,245.3,420.7,23.78,S11647
P96760,Home & Garden,IKEA,83.27,146.77,24.31,S4342
P754331,Sports,Samsung,362.81,633.91,43.02,S5692
P693537,Home & Garden,IKEA,273.81,539.21,38.18,S9702
P798196,Home & Garden,Nike,38.71,71.73,22.53,S14891
P61179,Books,Nike,203.41,311.92,3.98,S5046
P194173,Clothing,Samsung,200.06,266.62,15.87,S4596
P431194,Sports,IKEA,318.47,395.63,26.41,S2868
P251894,Sports,AmazonBasics📱💻,59.18,84.63,Unknown,S9940
P997337,Home & Garden,AmazonBasics,10.01,16.06,20.65,S13239
P174959,Books,Unknown,190.49,231.59,30.09,S19586
P954207,Toys,Sony,437.72,609.72,9.81,S10852
P99369,Toys,Adidas,55.81,98.19,35.78,S14530
P947123,Books,Adidas,197.41,293.55,10.35,S17845
P261132,Clothing,AmazonBasics,475.16,807.25,42.41,S14624
P501155,Sports,Unknown,274.78,336.92,4.46,S6014
P474629,Electronics,Unknown,240.21,364.78,N/A,S18320
P984551,Home & Garden,Sony,315.06,535.05,40.44,S18970
P121406,Electronics,Adidas,308.72,587.22,18.21,S3543
P896114,Sports,AmazonBasics,374.94,710.38,45.09,S18987
P818191,Books,Samsung,110.59,201.38,1.48,S4846
P512343,Toys,Adidas,254.36,380.02,16.23,S5241
P236676,Home & Garden,Adidas,54.86,102.34,13.22,S15603
P681717,Home & Garden,IKEA,304.07,486.92,14.38,S5635
P615551,Home & Garden,Sony,58.9,98.25,23.7,S9789
P78055,Sports,Nike,284.46,534.4,37.22,S12036
P438204,Toys,Samsung,389.06,545.54,6.72,S19420
P50375,Electronics,Samsung,98.59,181.81,41.24,S5466
P174327,Toys,Nike,200.4,303.29,14.29,S1042
P965012,Books,Sony,104.15,200.66,18.68,S866
P236550,Electronics,Samsung,101.73,195.57,19.15,S11256
P233742,Home & Garden,Samsung,199.93,266.62,29.48,S8589
P794128,Clothing,AmazonBasics,386.8,702.15,26.45,S7105
P552659,Clothing,Sony,256.77,500.43,29.28,S6779
P798976,Books,AmazonBasics,62.84,119.41,47.3,S4501
P506051,Clothing,Nike,127.55,232.69,7.83,S17083
P633583,Clothing,Samsung,396.73,668.25,40.54,S15588
P117939,Sports,Adidas,209.91,275.44,25.22,S1664
P432488,Electronics,Samsung,190.47,361.46,36.7,S11469
P866741,Toys,Adidas,484.61,599.93,8.25,S12355
P305323,Electronics,Sony,281.67,504.79,4.14,S16675
P50817,Toys,Nike,85.74,144.97,24.33,S14939
P732101,Electronics,Sony,210.41,376.17,38.16,S17300
P952689,Clothing,Sony,213.68,424.85,3.5,S7088
P396519,Electronics,Unknown,91.22,147.09,44.93,S16255
P215699,Electronics,Adidas,360.21,534.74,25.09,S19288
P241595,Books,Adidas,364.64,719.33,40.94,S9917
P249760,Sports,Sony,364.2,460.34,4.06,S3176
P293282,Home & Garden,Adidas,322.45,537.65,19.43,S19277
P127393,Home & Garden,Adidas,309.28,430.81,14.19,S11195
P135187,Electronics,IKEA,462.77,836.31,44.4,S3781
P738492,Sports,IKEA,280.98,541.0,1.53,S2837
P578757,Sports,Unknown,292.61,410.43,-,S7506
P273943,Sports,AmazonBasics,337.66,464.63,48.44,S3193
P268827,Home & Garden,IKEA,498.08,891.81,3.91,S830
P651165,Toys,Nike📱💻,219.15,409.01,17.01,S14173
P707119,Home & Garden,Samsung,255.68,483.94,15.05,S10022
P29529,Home & Garden,IKEA,163.45,202.24,36.53,S6558
P496790,Books,Unknown,19.07,24.3,17.98,S11817
P832808,Electronics,Sony,156.08,211.59,32.43,S17325
P354265,Home & Garden,AmazonBasics,286.01,570.33,29.88,S8654
P707140,Clothing,Unknown,311.13,564.86,49.08,S8858
P372137,Electronics,IKEA📱💻,423.7,750.73,49.26,S5326
P968868,Toys,Samsung,438.52,680.25,35.06,S4919
P120392,Books,Sony,424.45,534.91,22.14,S16340
P596878,Books,Sony,296.25,544.58,44.98,S5948
P602873,Electronics,Sony,11.85,21.33,40.81,S13168
P898249,Home & Garden,Samsung,84.36,140.94,41.52,S11509
P937006,Sports,Unknown,340.48,621.46,NULL,S716
P818013,Clothing,AmazonBasics,161.09,309.01,18.83,S5534
P319911,Electronics,Nike,274.14,427.74,3.08,S15587
P267676,Toys,Unknown,94.89,126.38,13.81,S4589
P53123,Clothing,Adidas,109.43,166.06,40.75,S15340
P360379,Clothing,IKEA,496.78,791.2,12.19,S14171
P12858,Books,IKEA,153.08,300.19,0.12,S16159
P41059,Books,AmazonBasics,96.21,161.2,15.8,S10200
P974563,Sports,AmazonBasics,194.36,379.88,13.72,S17103
P525345,Sports,Adidas,140.1,233.38,37.49,S14167
P335041,Books,Nike,259.9,436.6,20.06,S6098
P96830,Books,AmazonBasics,6.05,9.05,Unknown,S9299
P771203,Toys,AmazonBasics,117.12,192.66,42.73,S8751
P777511,Clothing,Unknown,77.45,134.2,0.59,S7122
P243199,Books,Unknown,225.68,281.68,12.19,S12934
P206377,Sports,Unknown,422.15,639.79,34.0,S6524
P460525,Sports,Unknown,110.05,142.57,45.25,S16947
P412607,Toys,NULL,104.62,175.8,13.51,S16375
P488104,Electronics,Nike,278.71,371.99,32.76,S11313
P519155,Toys,Unknown,196.25,311.17,35.57,S5110
P523956,Sports,AmazonBasics,240.03,426.95,41.91,S1302
P350720,Clothing,AmazonBasics,331.85,569.6,36.13,S13194
P237491,Electronics,Adidas,312.74,466.49,41.83,S9701
P546811,Sports,<b>Nike</b>,90.07,135.41,25.27,S10638
P591494,Books,Nike,15.19,27.71,38.73,S17991
P738793,Clothing,AmazonBasics,151.14,249.69,45.06,S9456
P353756,Sports,AmazonBasics,134.61,261.8,40.13,S12812
P82722,Books,Nike,384.28,754.75,32.48,S17239
P607685,Toys,Sony,246.82,364.03,35.2,S6682
P959352,Clothing,Sony,19.52,36.56,,S18107
P24473,Sports,Unknown,347.62,461.48,41.88,S3090
P72340,Sports,Nike,345.58,484.06,3.18,S17241
P535703,Clothing,Unknown,353.4,468.79,6.53,S4384
P6073,Home & Garden,Samsung,127.34,174.48,44.32,S10984
P6217,Home & Garden,Adidas,436.82,562.02,27.91,S3930
P43625,Books,Samsung,409.46,535.75,46.85,S1045
P374681,Books,Nike,298.03,496.78,33.37,S10233
P991309,Home & Garden,Adidas,309.82,614.33,6.86,S8926
P888287,Clothing,Sony,132.23,225.97,23.96,S4887
P161758,Books,Sony,183.79,355.1,33.49,S16032
P414611,Sports,IKEA,46.33,89.7,40.7,S13869
P971688,Home & Garden,AmazonBasics,450.94,552.21,4.73,S3582
P467913,Home & Garden,Nike,451.34,562.31,23.51,S19102
P878181,Electronics,Adidas,88.47,158.86,30.83,S1385
P508331,Home & Garden,Samsung,228.87,440.63,44.95,S18073
P114556,Home & Garden,Sony,464.51,626.44,4.41,S7542
P954715,Books,Adidas,462.05,622.16,30.19,S11059
P605962,Electronics,AmazonBasics,40.73,79.02,19.21,S11437
P57844,Electronics,Nike📱💻,282.99,520.44,26.99,S6624
P475674,Toys,Adidas📱💻,87.19,113.08,23.85,S1951
P218977,Home & Garden,Samsung,120.22,184.97,-,S9198
P165393,Electronics,Unknown,431.17,848.98,15.11,S13723
P94616,Electronics,,21.77,41.36,20.06,S5616
P374032,Clothing,IKEA,£168.43,248.33,43.64,S3053
P385279,Toys,Unknown,132.0,252.35,0.44,S2334
P562455,Home & Garden,Samsung,261.48,516.08,7.57,S6419
P17633,Books,IKEA,40.08,51.24,44.34,S2552
P785364,Electronics,AmazonBasics,394.33,621.24,36.43,S1261
P644848,Sports,Adidas,113.53,198.52,38.19,S11864
P580399,Home & Garden,Samsung,79.12,112.7,17.92,S5834
P826453,Clothing,AmazonBasics,372.5,606.57,49.97,S14474
P438946,Toys,Adidas,421.42,632.45,5.88,S13804
P372882,Books,Samsung,119.02,228.73,35.13,S5921
P525057,Home & Garden,Samsung,117.95,162.66,33.05,S1376
P175314,Electronics,IKEA,320.35,610.1,37.38,S8462
P948453,Clothing,Adidas,263.31,319.77,40.57,S12768
P885004,Toys,Nike,258.87,480.61,42.04,S3779
P63550,Electronics,IKEA,484.93,755.4,41.39,S382
P769010,Toys,Samsung,113.06,198.88,22.18,S10006
P226325,Books,Samsung,5.33,8.27,21.77,S17691
P146671,Sports,Samsung,412.11,738.42,4.24,S16390
P55888,Clothing,AmazonBasics,95.15,184.47,31.86,S18101
P469652,Sports,Sony,320.49,508.68,34.91,S5566
P956809,Sports,IKEA,305.83,554.43,41.15,S655
P186055,Home & Garden,Samsung,494.87,911.24,13.21,S16719
P943611,Sports,Samsung,364.36,608.12,23.18,S14750
P182859,Clothing,Unknown,440.87,570.74,39.17,S18515
P364750,Electronics,Adidas,459.18,554.05,15.03,S19774
P740893,Toys,Unknown,128.51,223.04,37.24,S19837
P528765,Electronics,Samsung,319.75,580.27,10.35,S10568
P797888,Electronics,Adidas,8.58,11.01,40.34,S14491
P519789,Electronics,Sony,26.4,37.45 GBP,36.28,S8812
P233140,Toys,IKEA,198.92,385.26,,S15285
P579399,Home & Garden,IKEA,62.33,78.75,29.66,S1477
P714360,Sports,Adidas,97.64,140.71,42.72,S6315
P288087,Toys,Nike,436.04,663.83,5.33,S11042
P214488,Toys,Samsung,336.51,516.23,24.52,S10132
P289013,Home & Garden,Nike,141.88,282.19,42.2,S9651
P752946,Electronics,IKEA,165.55,248.53,23.42,S9321
P5496,Sports,Unknown,327.94,420.03,19.51,S990
P913450,Sports,Nike,-415.34,768.45,19.7,S15498
P340918,Electronics,Unknown,299.85,564.98,32.22,S1232
P55607,Books,Samsung,46.82,66.42,18.14,S14081
P246638,Sports,AmazonBasics,76.99,142.36,18.5,S631
P982172,Clothing,Adidas,301.04,432.26,22.41,S7125
P970695,Electronics,AmazonBasics,325.9,522.63,32.33,S12413
P936126,Books,Unknown,154.72,286.39,29.47,S823
P194642,Sports,Sony,120.11,181.29,24.83,S6915
P810961,Books,Nike,174.58,243.8,6.82,S7150
P138153,Books,Samsung,380.69,461.22,41.9,S2347
P231206,Clothing,Samsung,95.15,159.76,36.55,S2683
P755237,Books,Adidas,453.12,717.45,19.9,S7662
P408926,Sports,IKEA,459.66,903.94,41.44,S2217
P214180,Clothing,AmazonBasics,110.33,205.96,,S2531
P418285,Clothing,Unknown,196.07,378.72,46.26,S7580
P258296,Home & Garden,AmazonBasics,32.43,42.99,5.87,S4499
P885331,Clothing,Adidas,176.95,334.04,27.0,S19018
P171459,Toys,Sony,380.55,517.58,14.34,S16797
P690120,Home & Garden,AmazonBasics,373.14,659.49,12.14,S14861
P889682,Electronics,AmazonBasics,378.3,477.02,21.44,S16153
P134266,Electronics,AmazonBasics,274.07,544.19,25.26,S2532
P299293,Toys,Samsung,135.48,250.44,46.88,S6587
P274312,Books,Sony,153.5,254.75,6.75,S5108
P353660,Home & Garden,Adidas,176.38,264.59,3.54,S13905
P438991,Clothing,Nike,78.83,105.43,33.16,S18067
P17151,Toys,Sony,176.33,260.15,23.76,S7103
P177445,Sports,IKEA,346.19,499.5,27.12,S16951
P998064,Sports,Unknown,47.23,58.88,19.95,S4466
P147866,Sports,Adidas,291.67,-365.54,17.7,S9384
P340460,Home & Garden,AmazonBasics,111.03,136.3,4.24,S14750
P41976,Books,NULL,422.3,551.45,47.51,S1643
P448001,Home & Garden,Nike,160.8,308.48,36.67,S14464
P514649,Home & Garden,Unknown,286.65,378.79,9.4,S7664
P764225,Toys,Nike,164.29,220.76,19.99,S13516
P570125,Books,Sony,419.37,618.29,41.39,S12526
P836352,Home & Garden,IKEA,122.0,225.49,42.37,S4152
P753483,Clothing,AmazonBasics,103.14,191.96,37.5,S18094
P124448,Clothing,Unknown,371.89,710.33,37.85,S9458
P916683,Home & Garden,IKEA,232.8,406.38,4.91,S19588
P125979,Clothing,Samsung,206.78,394.73,9.61,S7470
P898940,Books,Nike,212.34,346.66,38.38,S14110
P52732,Books,Samsung,110.18,206.0,15.01,S13935
P604542,Books,Unknown,8.27,11.16 GBP,37.23,S3976
P744411,Books,Adidas,47.61,70.23,33.84,S16323
P160240,Home & Garden,Adidas,62.92,120.79,20.28,S9458
P297017,Home & Garden,AmazonBasics,498.68,633.0,32.36,S4513
P753113,Clothing,AmazonBasics,118.15,222.67,37.72,S8655
P798118,Clothing,Sony,244.14,472.02,18.08,S1748
P410256,Sports,Samsung,322.69,403.8,39.7,S807
P830600,Books,IKEA,284.05,440.97,15.54,S19959
P882098,Books,AmazonBasics,32.91,56.31,49.96,S12854
P788793,Sports,Adidas,107.36,210.01,26.48,S15957
P383533,Books,Unknown,38.88,54.65,14.59,S10666
P142864,Toys,Samsung,331.39,660.52,42.52,S6413
P712707,Sports,IKEA,183.67,246.3,18.27,S7609
P766842,Sports,AmazonBasics,234.11,363.15,NULL,S15679
P539909,Books,Sony,431.59,831.15,47.91,S17987
P63067,Books,Nike,65.6,80.1,19.03,S6853
P587500,Toys,Nike,252.63,381.03,46.21,S16625
P997208,Electronics,IKEA,111.76,177.32,36.57,S15131
P513607,Home & Garden,Adidas,131.01,198.7,17.35,S11790
P359691,Toys,Unknown,349.89,552.2,20.32,S17234
P48356,Books,Unknown,464.55,809.42,20.14,S1454
P746563,Books,Samsung,293.24,571.91,11.84,S12207
P793455,Clothing,Sony,485.95,775.27,3.07,S715
P488747,Toys,IKEA,428.6,834.56,3.44,S16431
P732536,Clothing,IKEA,161.37,242.78,17.57,S11960
P953365,Toys,Samsung📱💻,102.33,130.22,3.1,S10119
P779144,Toys,Unknown,423.83,739.58,36.57,S8395
P29920,Books,IKEA,160.79,291.55,1.85,S18880
P546454,Sports,IKEA,491.58,920.16,28.85,S240
P987181,Home & Garden,IKEA,53.97,73.94,38.76,S4909
P898709,Electronics,IKEA,123.18,193.81,29.18,S7627
P877826,Home & Garden,Unknown,15.65,22.31,23.24,S5179
P428971,Clothing,Adidas,147.33,188.9,27.59,S15294
P567350,Books,IKEA,38.08,55.1,10.09,S8012
P63415,Clothing,Sony,377.34,504.91,48.23,S2681
P354303,Sports,Nike,461.49,677.76,35.09,S4059
P894928,Books,Samsung,423.09,508.53,42.69,S2373
P458638,Clothing,Nike,244.05,358.88,NULL,S14947
P904220,Home & Garden,Sony,224.51,375.82,1.73,S12628
P457739,Books,AmazonBasics,185.68,234.88,36.23,S6819
